synonym,word
立院,立院
中央委員會秘書處,中央委員會秘書處
台內社,台內社
中央團部,中央團部
台鐵運務處,台鐵運務處
台灣電力公司,台灣電力公司
反共建國聯盟,反共建國聯盟
臺灣企業公司籌備處,臺灣企業公司籌備處
民政廳,民政廳
省公產管理處,省公產管理處
國民黨中央第六組,國民黨中央第六組
地政局,地政局
臺灣省警務處,臺灣省警務處
國民黨地方黨部,國民黨地方黨部
臺灣省委員會,臺灣省委員會
籌備處,籌備處
本府財政局,本府財政局
聯合國兒童急救金委員會,聯合國兒童急救金委員會
陸總,陸總
台灣省臨時省議會,台灣省臨時省議會
青年反共抗俄救國團,青年反共抗俄救國團
中央銀行國庫局,中央銀行國庫局
中央財務委,中央財務委
中央設計考核委員會,中央設計考核委員會
中央組織部,中央組織部
中央第五組,中央第五組
中央第二組,中央第二組
聯席會議,聯席會議
國民黨婦工會,國民黨婦工會
國民黨中央財委會,國民黨中央財委會
省府社會處,省府社會處
財政部國庫署,財政部國庫署
國防部政治作戰局,國防部政治作戰局
青年服務團,青年服務團
國民黨中央常務委員會,國民黨中央常務委員會
蒙藏會,蒙藏會
訓育組,訓育組
鄉公所,鄉公所
郵政電訊,郵政電訊
設計委員會,設計委員會
反共自由運動團體,反共自由運動團體
國民黨文工會,國民黨文工會
台灣大專學校,台灣大專學校
行政院秘書處,行政院秘書處
國防部總政戰部,國防部總政戰部
台灣省府,台灣省府
台北市委員會,台北市委員會
台省府,台省府
台灣省政府交通處,台灣省政府交通處
紅衛兵,紅衛兵
外交部長,外交部長
台灣貿易開發株式會社,台灣貿易開發株式會社
國防部後勤次長室,國防部後勤次長室
國民黨省黨部,國民黨省黨部
台北市工務局,台北市工務局
央心理作戰指導會報,央心理作戰指導會報
大陸逃港難胞專案小組,大陸逃港難胞專案小組
證管會,證管會
運務處,運務處
大陸災胞救濟委員會台灣總會,大陸災胞救濟委員會台灣總會
國聲報社,國聲報社
台大,台大
台央庫,台央庫
國軍退除役官兵輔導委員會,國軍退除役官兵輔導委員會
台廣,台廣
農村復興委員會,農村復興委員會
旗山鎮公所,旗山鎮公所
國民黨台灣省委員會,國民黨台灣省委員會
反共組織,反共組織
中央五組,中央五組
中央委員會祕書處,中央委員會祕書處
臺灣省民眾服務社,臺灣省民眾服務社
臺灣省新聞處,臺灣省新聞處
中央廣,中央廣
中央廣播電台,中央廣播電台
中國青年反共救國團總團部,中國青年反共救國團總團部
臺灣省行政長官公署,臺灣省行政長官公署
中國國民黨臺灣省委員會,中國國民黨臺灣省委員會
臺設院,臺設院
內政部長,內政部長
臺灣電力公司,臺灣電力公司
光復鄉公所,光復鄉公所
臺灣農會,臺灣農會
中國婦女反共大同盟,中國婦女反共大同盟
中國總會,中國總會
省聯合會,省聯合會
中國青年反共,中國青年反共
政院,政院
美軍,美軍
中央青年工作會,中央青年工作會
知青黨務指導委員會,知青黨務指導委員會
中央黨部青年工作會,中央黨部青年工作會
中書局,中書局
青島橡膠廠,青島橡膠廠
中宣會,中宣會
青年育樂中心,青年育樂中心
中央選舉委員會,中央選舉委員會
臺灣機械公司,臺灣機械公司
省進出口公會聯合會,省進出口公會聯合會
中華民國婦女聯合會,中華民國婦女聯合會
中央社,中央社
主計局,主計局
中央第六組,中央第六組
臺電,臺電
心戰會,心戰會
南京國民政府,南京國民政府
中國國民黨中央第五組,中國國民黨中央第五組
中國國民黨中央社工會,中國國民黨中央社工會
監事會,監事會
匪鬪爭工作統一指導委員會,匪鬪爭工作統一指導委員會
新聞局廣電處,新聞局廣電處
中國反共義士運動指導小組,中國反共義士運動指導小組
匪鬥爭委員會,匪鬥爭委員會
新黨,新黨
黨中央,黨中央
胡佛委員會,胡佛委員會
聯勤總部,聯勤總部
省市黨部,省市黨部
教育部長,教育部長
工程處,工程處
工礦黨部,工礦黨部
花蓮縣光復鄉民眾服務社,花蓮縣光復鄉民眾服務社
憲兵司令部,憲兵司令部
國防會,國防會
新聞處,新聞處
慈善團體,慈善團體
臺北醫院,臺北醫院
臺北縣民眾服務支社,臺北縣民眾服務支社
最高委員會,最高委員會
臺北縣政府,臺北縣政府
國防部政戰局,國防部政戰局
臺北市警察第三分局,臺北市警察第三分局
臺北市政電臺,臺北市政電臺
國防部動員局,國防部動員局
國防軍,國防軍
臺北市政廣播電臺,臺北市政廣播電臺
政治部,政治部
國民黨臺灣省改造委員會,國民黨臺灣省改造委員會
國民黨臺灣省執行委員會,國民黨臺灣省執行委員會
西藏反共抗暴專案小組,西藏反共抗暴專案小組
景德製藥公司,景德製藥公司
教會,教會
昱華開發公司,昱華開發公司
西港鄉農會,西港鄉農會
救濟總會,救濟總會
政五處,政五處
臺北市各界婦女慰勞團,臺北市各界婦女慰勞團
日本工作小組,日本工作小組
國軍,國軍
技藝進修會,技藝進修會
日本留學生黨部,日本留學生黨部
